ID,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,ImageURL,Category
8,"The external fixation was done and the surgery went well. The patient's trachea was extubated and he was then transported to the Postanesthesia Care Unit (PACU). However, during the first hour, his oxygen saturation dropped to 85-90% and hence he is delivered oxygen at 2 litres/min via nasal cannula. However, the saturation does not improve, and the patient seems to develop respiratory distress and appears to be in a confused state. On closer inspection, petechial rash was seen over the patient's chest and he had subconjunctival hemorrhage too. What is the most likely cause of this set of symptoms?",Pulmonary embolism,Sepsis,Fat embolism,Pneumonia,Aspiration pneumonitis,C,"Fat embolism syndrome (FES) typically manifests 24 to 72 hours after the initial insult, but may rarely occur as early as 12 hours or as late as two weeks after the inciting event. Affected patients develop a classic triad: hypoxemia (most common symptom and may mimic ARDS), neurologic abnormalities (range from the development of an acute confusional state and altered level of consciousness to seizures and focal deficits) , and a petechial rash (most often on the nondependent regions of the body including the head, neck, anterior thorax, axillae, and sub-conjunctiva).",,Trauma
37,What is the most common cause of low back pain?,Herniated disc,Spinal stenosis,Muscle strain/ligament sprain,Spondylolisthesis,Sacroiliitis,C,Non-specific low back pain,often due to muscle strains or ligament sprains,Spine,
10,"In a patient with a stable thoracolumbar burst fracture and no neurologic deficits, operative treatment has what long-term outcome when compared to non-operative management?",Improved sagittal balance,Decreased pain scores,Improved return-to-work status,Improved function,Increased disability and complications,E,"Evidence supports that in patients with stable thoracolumbar burst fractures without neurologic deficits, there are no advantages to surgical treatment (Wood et al, Gnanenthiran et al, Agus et al",,Spine
2,"A patient presents to your clinic complaining of pain over the anterior shoulder. Performing a thorough shoulder exam, you find that the patient has reproducible pain with the arm supinated, the elbow fully extended, and with manual resistance applied in a downward direction. What test is this?",Yergason's,Hawkin's,Neer's,Jobe's empty can,Speed's,E,,,Shoulder,
43,The primary stabilizer of the shoulder against anterior dislocation is:,Rotator cuff,Labrum,Biceps tendon,Capsule,Coracoacromial ligament,B,The labrum,particularly the anterior-inferior labrum and associated ligaments (Bankart lesion area),Shoulder,
38,"A 50-year-old man, with a PMHx of long standing diabetes, comes to the sports medicine office because he has pain in his right hip and thigh that has been worsening since he fell while working in his yard two weeks ago. He is also noted to febrile with a temperature of 38.3C. Erythema and warmth are noted over the lateral aspect of the right hip and the proximal aspect of the right thigh. Full range of motion of the hip is noted, and distal sensation and pulses are intact. On laboratory studies, erythrocyte sedimentation rate is 29 mm/hr (normal: 0-15 m/hr). Results of full blood cell count are within normal limits. X-ray studies of the hip show a slightly raised periosteum in the proximal femoral shaft. Which of the following additional diagnostic studies is most appropriate?",CT scan,Indium 111 bone scan,MRI,Technetium 99m bone scan,Ultrasonography,C,"The clinical presentation is characteristic of osteomyelitis, and MRI is the most appropriate study to confirm this diagnosis because it shows loss or blurring of normal fat planes, periostitis, marrow edema and periosteal elevation. A is incorrect because this study is not sensitive for acute osteomyelitis. Option B, indium 111 bone scan, and Option D, technetium 99m bone scan, are incorrect because although these studies might show increased metabolic activity in patients with osteomyelitis, this finding is not distinguishable from post-traumatic injury, cancer, or postoperative findings. Option E, ultrasonography, is incorrect because this study can only show fluid collection next to bone, which is not distinguishable from a traumatic response.",,Pathology
44,"A 68 year old woman presents to the clinic with severe left hip/groin pain and the inability to weight bear on her left leg. You take a detailed history to elicit her risk factors and send for a hip X-ray, which yields the following findings. What is the most significant risk factor for this pathology?",Previous hip trauma,20 years of weekly alcohol consumption,Previous hip radiation,30 years of traditional chinese medicine (TCM) use,Primary osteoarthritis,D,,,Hip and Pelvis,
28,"A 28-year-old motorcyclist sustains an open midshaft tibial fracture with periosteal stripping and 10 cm wound contamination with soil. After resuscitation, what is the correct Gustilo-Anderson classification?",Type I,Type II,Type IIIA,Type IIIB,Type IIIC,D,A large contaminated wound with extensive soft-tissue damage and periosteal stripping requiring flap coverage is Type IIIB. Type IIIA has adequate soft tissue for coverage. Type IIIC includes arterial injury requiring repair. Type I and II reflect smaller wounds with less soft-tissue damage.,,Trauma
19,Which of the following is a common finding in osteoarthritis?,Synovial hypertrophy,Cartilage loss,Pannus formation,Elevated inflammatory markers,Rheumatoid factor elevation,B,Osteoarthritis is characterized by progressive loss of articular cartilage,leading to joint pain and dysfunction.,Pathology,
26,Which structure is most commonly injured in posterior shoulder dislocations?,Bankart lesion,Hill-Sachs lesion,Reverse Hill-Sachs lesion,SLAP tear,Glenoid fracture,C,Posterior shoulder dislocations commonly cause a reverse Hill-Sachs lesion (anteromedial humeral head impaction fracture) due to impaction against the posterior glenoid rim.,,Shoulder
1,The 'Ottawa Ankle Rules' are used to:,Determine surgical indication,Assess fracture stability,Guide radiographic imaging,Predict healing time,Classify fracture severity,C,The Ottawa Ankle Rules are clinical decision rules used to determine when ankle radiographs are necessary,helping to reduce unnecessary X-rays while maintaining diagnostic accuracy.,Foot and Ankle,
36,What is the order of the normal healing process of bones?,"Hematoma, soft callus, hard callus, woven bone, lamellar bone","soft callus, hard callus, lamellar bone, woven bone","Hematoma, soft callus, lamellar bone, hard callus, woven bone","Soft callus, hematoma, hard callus, lamellar bone, woven bone","Hematoma, soft callus, hard callus, lamellar bone, woven bone",A,,,Pathology,
53,"A 14-year-old man presented to the emergency department with 3 days of progressively worsening right knee pain that was exacerbated by movement. The patient played basketball and had a history of asthma, but he denied any recent trauma or prior knee pain. Systemic symptoms, including fever, weight changes and fatigue, were absent. On examination, he had tenderness at the tibial tuberosity and a small effusion, but no overlying erythema or limited range of motion. A sliver-like osseous density anterior to apophysis of the tibial tuberosity was see on the knee x-ray. What would you not expect to find in the x-ray?",Calcification within patellar tendon,Displacement or fragmentation of tibial apophysis,Soft tissue edema proximal to tibial tuberosity,Loose bodies in knee joint,Osteophytes at joint margins,D,,,Knee,
9,The pelvic spur sign on plain radiography is indicative of which following injury?,Transtectal transverse acetabular fracture,Vertical shear pelvic ring fracture,Displaced H-type sacral fracture,Associated both-column acetabular fracture,Anterior-posterior type III pelvic ring injury,D,,,Hip and Pelvis,
13,. Which one of the following is false about the clinical examinations of an ACL tear?,Posterior drawer is negative,Anterior drawer is positive,There is posterior sag of the knee,Lachman test is positive,N test is positive,C,Explanation: Posterior sag and drawer are positive for PCL tear.,,Knee
4,"A 34-year-old office worker presents with wrist pain after a FOOSH 3 weeks ago. Snuffbox tenderness persists, and initial radiographs were normal. What is the most appropriate next investigation?",Repeat plain radiographs of the wrist immediately,CT of the wrist for bony detail,MRI of the wrist to assess occult fracture,Bone scan of the wrist,Ultrasound of the wrist,C,"Persistent snuffbox tenderness with normal initial radiographs suggests occult scaphoid fracture. MRI is the most sensitive and specific early test, evaluating bone edema and fracture line, and can change management promptly. CT is excellent for fracture characterization and union assessment but is less sensitive for early occult injury.",,Hand and Wrist
66,. A 47 year old woman,who had just finished her surgical fixation for a complex distal radial fracture of the right arm 12 hours ago,complains of severe forearm pain in the PACU. The anesthetist suspects that the increasing pain is caused by an incomplete nerve block and hence she performs another nerve block with ropivacaine. However,the patient was still screaming due to severe pain and hence the anesthetist came to you. Being Dr. Ooguway,the Master of Medicine,what would be the least appropriate next step in this case?,Check if there is any tingling or pin prick sensation over the area,Check for pale skin tone over the area,Use a needle manometer,Hand and Wrist,
51,. A 40-year-old woman comes to the emergency department because she has pain in the right arm 2 hours after she fell in her home. Physical examination shows swelling and deformity of the right arm. X-ray studies show a spiral midshaft fracture of the humerus. Which of the following would most likely be elicited during physical examination.,The patient is unable to dorsiflex the wrist.,Presents with the bishops hand/ ape hand when asked to make a fist,Presents with tingling over the little finger,Has trouble abducting her arm,Numbness over the thenar eminence,A,The radial nerve courses posterior to the middle third of the humeral shaft (sits in the radial groove) and is prone to injury with fractures of the midshaft of the humerus. Sensory distribution of the radial nerve includes the first dorsal web space of the hand,and motor innervation includes the dorsal forearm extensor muscles,Trauma,
23,A 72-year-old woman falls from standing height and presents with left hip pain and inability to bear weight. AP pelvis shows a displaced femoral neck fracture with loss of femoral head-neck continuity. She walks independently prior to the fall. What is the most appropriate definitive management?,Dynamic hip screw fixation,Cemented bipolar hemiarthroplasty,Uncemented total hip arthroplasty,Cemented total hip arthroplasty,Percutaneous cannulated screw fixation,D,"Displaced femoral neck fracture in an active, independent elderly patient is best treated with arthroplasty to reduce reoperation risk compared to fixation. Cemented stems reduce periprosthetic fracture and improve early function in the elderly. Total hip arthroplasty is preferred over hemiarthroplasty in higher-demand community ambulators. Cemented THA is therefore most appropriate. DHS and cannulated screws have high nonunion/AVN rates in displaced fractures. Uncemented THA has higher intraoperative fracture risk in osteoporotic bone.",,Hip and Pelvis
34,What is the primary goal of treatment for a slipped capital femoral epiphysis (SCFE)?,Reduce the slip,Prevent further slip,Restore hip range of motion,Alleviate pain,Improve femoral head vascularity,B,The primary goal of SCFE treatment is to prevent further slippage of the femoral epiphysis,typically achieved through in situ pinning.,Paediatrics,
5,A 45-year-old man presents with back pain after a fall from 3 meters. CT shows a burst fracture at L1 with retropulsed fragments and 35% vertebral height loss. Neurologically intact. MRI shows intact posterior ligamentous complex. Best management?,Posterior short-segment fixation and fusion,Anterior corpectomy and fusion,Thoracolumbosacral orthosis with close follow-up,Combined anterior-posterior stabilization,Percutaneous vertebroplasty,C,"Thoracolumbar burst fracture with intact PLC and no neurological deficit can be managed nonoperatively with TLSO if deformity and canal compromise are acceptable. Surgery is indicated with PLC injury, progressive deformity, or neurological deficit. Vertebroplasty is not indicated for traumatic burst fractures.",,Spine
21,What is the gold standard treatment for displaced femoral neck fractures in elderly patients?,Open reduction and internal fixation,Total hip arthroplasty,Hemiarthroplasty,Conservative management,Percutaneous cannulated screw fixation with early mobilization,B,Total hip arthroplasty is generally preferred for displaced femoral neck fractures in elderly patients due to lower reoperation rates and better functional outcomes compared to internal fixation.,,Hip and Pelvis
57,How would you manage this fracture?,Immediate wound closure and casting,External fixation and then close the wound after 48 hours,Intramedullary nail fixation and then close the wound within 24 hours,Intramedullary nail fixation and then close the wound after 48 hours,External fixation and then close the window within 24 hours,B,"Casting is only used for very stable grade 1 and 2 open fractures which have minimal soft tissue damage. Intramedullary nail fixation (open reduction internal fixation) is gold standard for closed and unstable tibial shaft fractures and most exposed fractures (types I, II, and IIIA GustiloAnderson) because it gives good stabilization, allows early ROM and facilitates fracture consolidation while preventing malalignment. (Superior healing compared to external fixation) However, it requires additional tissue dissection which is contraindicated in severe open fractures (IIIB and C) because additional exposure can cause partial loss of periosteal, cortical or intramedullary blood supply, increasing risk of infection. Hence, external fixation (Pin-to-bar/ circular/ hybrid) is superior in this case since it reduces likelihood of further infection and provides easy access to the wound. (for further assessment and debridement in the future) Lastly, the wound is usually left opened for 48 hours before closing up due to the dangers of tension & infection present in the first 2 days. This is mostly due to the worry of gas gangrene being formed by clostridial infections when there is extensive soft tissue damage and to ensure that there is viable soft tissue before closing up. However, recently new research papers suggest early wound closure could be a superior option  especially for grade IIIA and below and those which have been adequately debrided. So, continue reading  research articles to stay relevant and uptodate! ",,Trauma
45,The 'terrible triad' of the elbow includes:,Radial head fracture,coronoid fracture,posterior dislocation,Olecranon fracture,radial head fracture,coronoid fracture,Medial epicondyle fracture,lateral condyle fracture,Trauma,
15,"An 82 year old woman is admitted with a Ficat IV AVN (avascular necrosis) of her right hip, with impaired ambulation, pain, and a general inability to weight-bear on the affected side. What is the best management for this patient?",Total hip arthroplasty,Offload affected hip with crutches and physiotherapy,Bisphosphonates and NSAIDs,Core decompression,Rotational osteotomy,A,,,Hip and Pelvis,
29,"A 34 year old passenger is admitted to the ED after a multiple car collision. After securing his airway, breathing and circulation, you note that the patient complains of leg pain, and note that his right leg is shortened, lying in adduction, internal rotation and slight flexion. What pathology does this patient likely have?",Femoral head fracture,Shattered pubic symphysis,Posterior hip dislocation,Anterior hip dislocation,Femoral shaft fracture,C,,,Hip and Pelvis,
62,What is the primary indication for immediate surgery in ankle fractures?,Displaced fracture,Open fracture,Syndesmotic injury,Weber C fracture,Bimalleolar fracture,B,Open fractures require immediate surgical intervention for irrigation,debridement,Foot and Ankle,
59,A 40-year-old woman comes to the emergency department because she has pain in the right arm 2 hours after she fell in her home. Physical examination shows swelling and deformity of the right arm. X-ray studies show a spiral midshaft fracture of the humerus. Which of the following would most likely be elicited during physical examination.,The patient is unable to dorsiflex the wrist.,Presents with the bishop's hand/ ape hand when asked to make a fist,Presents with tingling over the little finger,Has trouble abducting her arm,Numbness over the lateral aspect of the forearm,A,"The radial nerve courses posterior to the middle third of the humeral shaft (sits in the radial groove) and is prone to injury with fractures of the midshaft of the humerus. Sensory distribution of the radial nerve includes the first dorsal web space of the hand, and motor innervation includes the dorsal forearm extensor muscles, including those of the wrist. B is incorrect since it refers to median nerve injury ? not a common nerve to be injured in this context. This nerve courses through the medial aspect of the arm between the biceps brachii and brachialis muscles. C is incorrect since it refers to ulnar nerve injury ? not a common nerve to be injured in this context. This nerve courses through the arm relatively parallel to the median nerve and is not in proximity to the humerus at the level of the fracture. D is incorrect since it refers to axillary nerve injury ? is located posterior to the humeral neck E is incorrect since it refers to musculocutaneous nerve injury ? not commonly injured.",,Trauma
41,"A 25-year-old rugby player sustains an anterior shoulder dislocation. After reduction, he has weakness in abduction and decreased sensation over the lateral deltoid. Which nerve is most likely injured?",Radial nerve,Axillary nerve,Musculocutaneous nerve,Suprascapular nerve,Spinal accessory nerve,B,"The axillary nerve is commonly injured with anterior shoulder dislocations, presenting with deltoid weakness (abduction) and sensory loss over the 'regimental badge' area. Radial nerve injury affects wrist/finger extension. Musculocutaneous nerve affects elbow flexion and lateral forearm sensation. Suprascapular nerve affects supraspinatus/infraspinatus. Spinal accessory nerve affects trapezius function.",,Shoulder
47,"68-year-old woman with sudden L4 vertebral fracture, chronic knee pain, hearing loss, elevated ALP, normal calcium and GGT over 2 weeks",Type 1 osteopetrosis,Osteoporosis,Primary biliary cholangitis,Osteomalacia,Paget disease of bone,E,"Paget disease of bone involves disorganized bone remodeling by osteoclasts and osteoblasts, leading to elevated ALP with normal calcium and phosphate, bone pain, pathological fractures, and sensorineural hearing loss from ossicle involvement.",,Pathology
27,"A 47 year old woman, who had just finished her surgical fixation for a complex distal radial fracture of the right arm 12 hours ago, complains of severe forearm pain in the PACU. The anesthetist suspects that the increasing pain is caused by an incomplete nerve block and hence she performs another nerve block with ropivacaine. However, the patient was still screaming due to severe pain and hence the anesthetist came to you. Being Dr. Ooguway, the Master of Medicine, what would be the least appropriate next step in this case?",Check if there is any tingling or pin prick sensation over the area,Check for pale skin tone over the area,Use a needle manometer,Passively extend the muscles and see whether there is increase in pain,Check for any weakness in movement of fingers,C,"This is commonly used for unconscious/obtunded patients in clinical practice because you cant elicit pain history from them. However, if the patient complains of excruciating pain and if in the right clinical context, emergency management for compartment syndrome can be performed. Check for 5 Ps if suspect compartment syndrome  Pain, Paresthesia, pressure, pallor, pulselessness.",,Hand and Wrist
39,Which nerve is most commonly injured in humeral shaft fractures?,Median nerve,Ulnar nerve,Radial nerve,Axillary nerve,Musculocutaneous nerve,C,The radial nerve is most commonly injured in humeral shaft fractures due to its intimate relationship with the spiral groove (radial groove) on the posterior aspect of the mid-shaft humerus.,,Trauma
12,"A 40-year-old man develops progressive back pain, saddle anesthesia, and urinary retention 24 hours after lifting a heavy object. Exam shows decreased anal tone and bilateral S1 weakness. Best immediate management?",Urgent lumbar MRI and emergent decompression within hours,Trial of oral steroids and outpatient MRI,Bed rest with NSAIDs and re-evaluation in 72 hours,Electrodiagnostic studies prior to imaging,CT lumbar spine without contrast only,A,"This presentation is classic for cauda equina syndrome with red flags (saddle anesthesia, urinary retention, bilateral deficits). Requires urgent MRI for diagnosis and emergent surgical decompression ideally within hours to improve neurological and bladder outcomes. Delays worsen prognosis. Conservative care, CT alone, or electrodiagnostics are inappropriate in this emergency.",,Spine
30,The 'unhappy triad' of the knee consists of tears to which three structures?,ACL,MCL,medial meniscus,ACL,PCL,LCL,PCL,MCL,Knee,
3,"A 63 year old Venezuelan male undergoes a C4-7 posterior fusion and laminectomy secondary to spinal cord stenosis. Pre-operative examination reveals neck pain and finger clumsiness. On post-op day 1, the gentleman complains of significant weakness raising his left arm overhead, and on examination you note a clear sensation deficit over the lateral shoulder. What structure is most commonly affected in this procedure?",C4 nerve root,Suprascapular nerve,Axillary nerve,C5 nerve root,C6 nerve root,D,,,Spine,
63,. Which of the following would you want to consider in acute management of this patient?,4,2 and 4,2,3 and 4,1,2,3 and 4,,Uncategorized,
17,A 47 year old woman,who had just finished her surgical fixation for a complex distal radial fracture of the right arm 12 hours ago,complains of severe forearm pain in the PACU. The anesthetist suspects that the increasing pain is caused by an incomplete nerve block and hence she performs another nerve block with ropivacaine. However,the patient was still screaming due to severe pain and hence the anesthetist came to you. what would be the least appropriate next step in this case?,Check if there is any tingling or pin prick sensation over the area,Check for pale skin tone over the area,Use a needle manometer,Passively extend the muscles and see whether there is increase in pain,,Hand and Wrist,
65,"A 62-year-old diabetic presents with acute atraumatic hot, swollen knee and severe pain. Temperature 38.6 C. WBC 14 x10^9/L, CRP elevated. Best next step?",Urgent knee MRI with contrast,Start oral antibiotics and review in 48 hours,"Urgent joint aspiration for cell count, Gram stain, and culture",Intra-articular steroid injection,Order uric acid level and treat as gout,C,"Septic arthritis is an orthopedic emergency. Urgent joint aspiration for synovial WBC, Gram stain, and culture guides immediate IV antibiotics and surgical washout as indicated. Delaying aspiration risks joint destruction. Steroids are contraindicated in suspected infection. Imaging and uric acid testing should not delay aspiration.",,Pathology
61,The 'drop arm test' is used to assess:,Biceps tendon rupture,Supraspinatus tear,Subscapularis tear,Infraspinatus tear,Teres minor tear,B,The drop arm test specifically evaluates supraspinatus function. A positive test (inability to slowly lower the arm from 90° abduction) suggests a significant supraspinatus tear.,,Shoulder
46,A 20 year old patient presents to the ED unconscious following a car accident. What would be your next appropriate management?,AP view X- ray,Odontoid view x-ray,Apply C-spine collar,Intubation,Try moving the neck to test ROM of neck,C,"Always suspect C-spine injuries in patients who present after fall from height, diving accident or vehicle accident in which neck is forcibly moved. Furthermore, look out for the following signs and symptoms of cervical spine fracture / spinal cord injury (Unconscious from head injury, abnormal position of neck, tenderness on palpation or pain/ parasthesia in limbs). Secure C-spine before ABCs to prevent any unwanted trauma. In such high risk patients, only remove C-collar after confirming through imaging.",,Spine
60,What is the most common type of shoulder dislocation?,Anterior,Posterior,Inferior,Superior,Luxatio erecta,A,Anterior shoulder dislocations account for over 95% of all shoulder dislocations.,,Shoulder
55,A 16-year-old overweight boy presents with 3 months of groin pain and limp. Exam shows obligate external rotation with hip flexion. AP and frog-leg lateral pelvis show posterior-inferior displacement of the femoral head relative to the neck. Most likely diagnosis?,Legg-Calvé-Perthes disease,Slipped capital femoral epiphysis,Developmental dysplasia of the hip,Femoroacetabular impingement,Transient synovitis,B,"SCFE typically affects overweight adolescents with hip or knee pain, limp, and obligate external rotation with flexion. Radiographs show posterior-inferior slip on frog-leg view. Perthes affects younger children with AVN. DDH is a pediatric instability condition. FAI presents in young adults with activity-related groin pain without epiphyseal slip. Transient synovitis is acute and self-limiting.",,Paediatrics
25,"When compared with primary arthrodesis for the treatment of ligamentous Lisfranc injuries, ORIF has which of the following?",Higher overall cost of treatment,Higher rate of deep infection,Improved patient reported outcomes,Lower implant removal rates,Lower revision surgery rate,A,"Lisfranc injury is a TMT #-dislocation with traumatic disruption between the articulation of the medial cuneiform and base of the 2nd metatarsal. ORIF is indicated if (1) evidence of instability (>2mm shift); and (2) bony #-dislocations. PA is indicated for (1) purely ligamentous injury, (2) delayed treatment or (3) chronic deformity.",,Foot and Ankle
35,Which imaging modality is best for diagnosing rotator cuff tears?,X-ray,CT scan,MRI,Ultrasound,Arthrogram,C,MRI is the gold standard for diagnosing rotator cuff tears,providing excellent soft tissue contrast and ability to assess tear size,Shoulder,
49,"Mr Chua, a 50 year old Chinese male, presents with reduced active and passive range of motion of his right shoulder, and is diagnosed with adhesive capsulitis. Which of the following is a known risk factor for the development of adhesive capsulitis?",Menopause,Steroid use,Diabetes mellitus,Renal disease,All of the above,C,,,Shoulder,
20,Which one of the following is false about the clinical examinations of an ACL tear?,Posterior drawer is negative,Anterior drawer is positive,There is posterior sag of the knee,Lachman test is positive,Pivot shift is positive,C,Posterior sag and drawer are positive for PCL tear.,,Knee
6,. The external fixation was done and the surgery went well. The pateints trachea was extubated and he was then transported to the Postanesthesia Care Unit (PACU). However,during the first hour,his oxygen saturation dropped to 85-90% and hence he is delivered oxygen at 2 litres/min via nasal cannula. However,the saturation does not improve,and the patient seems to develop respiratory distress and appears to be in a confused state. On closer inspection,petechial rash was seen over the patients chest and he had subconjunctival hemorrhage too.,Pulmonary embolism,Sepsis,Fat embolism,Trauma,
40,Which nerve is at risk during surgery for carpal tunnel syndrome?,Radial nerve,Ulnar nerve,Median nerve,Axillary nerve,Musculocutaneous nerve,C,Carpal tunnel syndrome involves compression of the median nerve,and it is the nerve at risk during surgical decompression.,Hand and Wrist,
48,"A 22-year-old gymnast has ulnar-sided wrist pain and paresthesia in the ring and little fingers worse with cycling. Tinel is positive at the wrist, and symptoms worsen with wrist extension and pressure over the pisohamate tunnel. Most likely site of nerve compression?",Carpal tunnel beneath the flexor retinaculum,Arcade of Frohse in the proximal forearm,Cubital tunnel at the elbow,Guyon’s canal at the wrist,Pronator teres muscle heads,D,"Ulnar nerve compression at Guyon’s canal presents with ulnar-sided wrist pain and paresthesia of the ulnar digits, often aggravated by cycling due to handlebar pressure over the canal. Carpal tunnel affects the median nerve. Arcade of Frohse and pronator teres involve radial and median nerves respectively. Cubital tunnel is at the elbow, not wrist.",,Hand and Wrist
32,"After 6 months, you reassess the patient's fracture and you find that the patient experiences non-union since the healing of the bones has ceased. Which is not a common site of non-union?",Distal tibia,Scaphoid,Neck of femur,Lateral humeral condyle,Midshaft femur,E,Distal tibia has a poor muscle coverage while scaphoid bone and neck of femur have poor blood supplies esp if the fracture occurs in a specific area which causes avascular necrosis.,,Pathology
50,"An asymptomatic 65-year-old woman with hypertension and a history of gastroesophageal reflux–related esophageal stricture is found on routine screening to have a T-score of –2.6 SD. She experienced menarche at age 11, menopause 8 years ago, and was treated for endometrial hyperplasia 20 years ago; her last mammogram and Pap smear 6 months ago were normal. She has no children, a maternal history of breast cancer, and currently takes lansoprazole and hydrochlorothiazide. The physician recommends raloxifene for osteoporosis prophylaxis and asks about its specific adverse effects.",Mandibular osteonecrosis,Endometrial cancer,Osteosarcoma,Hypercholesterolemia,Deep venous thrombosis,E,"Raloxifene is a selective estrogen receptor modulator that acts as an estrogen agonist in bone and antagonist in breast and endometrium, reducing bone resorption without increasing endometrial cancer risk. However, it mimics estrogen's prothrombotic effects, significantly increasing the risk of venous thromboembolism such as deep venous thrombosis. It does not cause mandibular osteonecrosis or osteosarcoma, and it does not adversely affect lipid profiles to cause hypercholesterolemia. Patient counseling should emphasize VTE risk when starting raloxifene.",,Pathology
56,Which bone is most commonly fractured in the wrist?,Radius,Ulna,Scaphoid,Lunate,Triquetrum,C,The scaphoid is the most commonly fractured carpal bone,,Hand and Wrist,
64,Which one of the following is not commonly used as a graft for ACL reconstruction?,Semitendinosis,Gracilis,Patella tendon,Biceps femoris,Achilles tendon,D,"Biceps femoris is not commonly used for ACL reconstruction. The most common grafts are patellar tendon, hamstring tendons (semitendinosus and gracilis), and quadriceps tendon.",,Knee
