ID,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,ImageURL
11,"Which imaging modality is best for diagnosing rotator cuff tears?","X-ray","CT scan","MRI","Ultrasound",,"C","MRI is the gold standard for diagnosing rotator cuff tears, providing excellent soft tissue contrast and ability to assess tear size, location, and quality of remaining tendon tissue.","https://example.com/rotator_cuff_mri.jpg"
12,"The 'drop arm test' is used to assess:","Biceps tendon rupture","Supraspinatus tear","Subscapularis tear","Infraspinatus tear",,"B","The drop arm test specifically evaluates supraspinatus function. A positive test (inability to slowly lower the arm from 90° abduction) suggests a significant supraspinatus tear.","https://example.com/drop_arm_test.jpg"
13,"What is the primary indication for immediate surgery in ankle fractures?","Displaced fracture","Open fracture","Syndesmotic injury","Weber C fracture",,"B","Open fractures require immediate surgical intervention for irrigation, debridement, and stabilization to prevent infection and optimize healing outcomes.","https://example.com/open_ankle_fracture.jpg"
14,"The 'Hawkins sign' in talus fractures indicates:","Avascular necrosis","Good blood supply","Malunion","Infection",,"B","A positive Hawkins sign (subchondral radiolucency seen 6-8 weeks post-injury) indicates maintained blood supply to the talar dome and suggests a lower risk of avascular necrosis.","https://example.com/hawkins_sign.jpg"
15,"Which structure is most commonly injured in posterior shoulder dislocations?","Bankart lesion","Hill-Sachs lesion","Reverse Hill-Sachs lesion","SLAP tear",,"C","Posterior shoulder dislocations commonly cause a reverse Hill-Sachs lesion (anteromedial humeral head impaction fracture) due to impaction against the posterior glenoid rim.","https://example.com/reverse_hill_sachs.jpg"
16,"What is the most common type of shoulder dislocation?","Anterior","Posterior","Inferior","Superior",,"A","Anterior shoulder dislocations account for over 95% of all shoulder dislocations.","https://example.com/shoulder_dislocation.jpg"
17,"Which nerve is at risk during surgery for carpal tunnel syndrome?","Radial nerve","Ulnar nerve","Median nerve","Axillary nerve",,"C","Carpal tunnel syndrome involves compression of the median nerve, and it is the nerve at risk during surgical decompression.","https://example.com/carpal_tunnel_nerve.jpg"
18,"What is the primary goal of treatment for a slipped capital femoral epiphysis (SCFE)?","Reduce the slip","Prevent further slip","Restore hip range of motion","Alleviate pain",,"B","The primary goal of SCFE treatment is to prevent further slippage of the femoral epiphysis, typically achieved through in situ pinning.","https://example.com/scfe_hip.jpg"
19,"Which of the following is a common finding in osteoarthritis?","Synovial hypertrophy","Cartilage loss","Pannus formation","Elevated inflammatory markers",,"B","Osteoarthritis is characterized by progressive loss of articular cartilage, leading to joint pain and dysfunction.","https://example.com/osteoarthritis_cartilage.jpg"
20,"What is the most common cause of low back pain?","Herniated disc","Spinal stenosis","Muscle strain/ligament sprain","Spondylolisthesis",,"C","Non-specific low back pain, often due to muscle strains or ligament sprains, is the most common cause of low back pain.","https://example.com/low_back_pain.jpg"
21,"What is the order of the normal healing process of bones?","Hematoma, soft callus, hard callus, woven bone, lamellar bone","soft callus, hard callus, lamellar bone, woven bone","Hematoma, soft callus, lamellar bone, hard callus, woven bone","Soft callus, hematoma, hard callus, lamellar bone, woven bone",,"A","The normal healing process of bones involves several stages: hematoma formation, soft callus formation, hard callus formation, and finally bone remodeling into lamellar bone.","https://example.com/bone_healing.jpg"
22,"A 47 year old woman, who had just finished her surgical fixation for a complex distal radial fracture of the right arm 12 hours ago, complains of severe forearm pain in the PACU. The anesthetist suspects that the increasing pain is caused by an incomplete nerve block and hence she performs another nerve block with ropivacaine. However, the patient was still screaming due to severe pain and hence the anesthetist came to you. Being Dr. Ooguway, the Master of Medicine, what would be the least appropriate next step in this case?","Check if there is any tingling or pin prick sensation over the area","Check for pale skin tone over the area","Use a needle manometer","Passively extend the muscles and see whether there is increase in pain","Check for any weakness in movement of fingers","C","This is commonly used for unconscious/obtunded patients in clinical practice because you can't elicit pain history from them. However, if the patient complains of excruciating pain and if in the right clinical context, emergency management for compartment syndrome can be performed. Check for 5 'P's if suspect compartment syndrome - Pain, Paresthesia, pressure, pallor, pulselessness.","https://example.com/compartment_syndrome.jpg"
23,"Which one of the following is false about the clinical examinations of an ACL tear?","Posterior drawer is negative","Anterior drawer is positive","There is posterior sag of the knee","Lachman test is positive","Pivot shift is positive","C","Posterior sag and drawer are positive for PCL tear.","https://example.com/acl_exam.jpg"
24,"Case 1 (Open fractures) - What Gustillo-Anderson Classification is this likely to be? (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2740354/ )","Type I","Type II","Type IIIA","Type IIIB","Type IIIC","D","","https://example.com/open_fracture_classification.jpg"
25,"Case 1 (Open fractures) - Which of the following would you want to consider in acute management of this patient?","IV morphine","IV cefazolin and gentamicin","Tetanus toxoid booster and human tetanus immune globulin","wound debridement and irrigation","All of the above","D","Morphine is indicated since the patient is in excruciating pain, always consider the patient's comfort. Empiric therapy should be started ASAP since open fractures are associated high rates of infection - usage of a broad spectrum antibiotic like cefazolin is common for grade I and II open fractures. However, since this is grade III, addition of gentamicin is indicated for gram negative cover. Prophylaxis and treatment for tetanus should be considered for every patient with an open fracture. Meticulous debridement of all devitalized tissue including bone tissue is crucial to prevent infection.","https://example.com/open_fracture_management.jpg"
